"search-number","evaluation","number-of-cars*","mean_acceleration*","mean-deceleration*","max-patience*","distance-between-nodes*","number-of-lanes*","length-of-node*","cars-per-mile-mean*","sec-per-tick*","feet-per-unit*","node-power-output*","ev-density-percent*","crr*","electricity-cost*","cda*","num-replicates","best-fitness-so-far"
"1","5","3","0.527","0.66","35","28","2","2","48","0.1","15","81","20","0.01","8","0.5","5","2549.939881653086"
"1","10","3","0.527","0.66","35","30","2","1","48","0.1","15","194","20","0.01","8","0.5","5","1552.735485219453"
"1","20","3","0.527","0.66","35","22","2","1","48","0.1","15","180","20","0.01","8","0.5","5","1323.1884497335639"
"1","35","3","0.527","0.66","35","50","2","1","48","0.1","15","51","20","0.01","8","0.5","5","182.08221510143545"
"1","45","3","0.527","0.66","35","26","2","2","48","0.1","15","23","20","0.01","8","0.5","5","71.25436519249355"
"1","65","3","0.527","0.66","35","18","2","2","48","0.1","15","27","20","0.01","8","0.5","5","-6.363715365102792"
"1","115","3","0.527","0.66","35","24","2","1","48","0.1","15","15","20","0.01","8","0.5","5","-363.5251394367499"
"1","270","3","0.527","0.66","35","10","2","1","48","0.1","15","11","20","0.01","8","0.5","5","-890.5589283630819"
"1","435","3","0.527","0.66","35","10","2","1","48","0.1","15","14","20","0.01","8","0.5","5","-913.211491378532"
"1","440","3","0.527","0.66","35","10","2","1","48","0.1","15","2","20","0.01","8","0.5","5","-934.5230733817816"
